"Nr. hotel reviews,Score,Traveler type,Pool,Gym,Tennis court,Spa,Casino,Free internet,Hotel name,Hotel stars,Nr. rooms,User continent,Member years,Month Of Stay,Review weekday"
"12,5,Couples,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4,2916,Oceania,4,June,Saturday"
"19,3,Couples,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4,2916,North America,6,June,Sunday"
"9,4,Families,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4,2916,Europe,3,July,Wednesday"
"37,5,Families,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4,2916,Africa,4,August,Friday"
"6,5,Couples,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4,2916,North America,2,September,Tuesday"
"3,2,Couples,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4,2916,North America,2,October,Monday"
"26,5,Couples,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4,2916,North America,4,December,Saturday"
"13,4,Couples,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4,826,North America,4,January,Monday"
"72,4,Solo,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4,826,Europe,3,February,Friday"
"43,4,Solo,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4,826,Africa,12,April,Sunday"
"11,4,Families,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4,826,Asia,6,July,Monday"
"3,5,Couples,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4,826,Europe,1,October,Monday"
"4,5,Couples,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4,826,Europe,1,October,Sunday"
"13,4,Couples,YES,YES,NO,YES,YES,YES,The Westin las Vegas Hotel Casino & Spa,4,826,North America,8,November,Thursday"
